Time,Predator,Prey,Plant
4.166666561407813E-6,50,1000,1000
8.333333122815626E-6,68,3058,948
1.249999968422344E-5,70,3155,635
1.666666624563125E-5,72,3235,431
2.0833332807039067E-5,74,3291,303
2.499999936844688E-5,74,3323,225
2.9166665929854695E-5,74,3330,173
3.33333324912625E-5,74,3334,144
3.749999905267032E-5,74,3337,115
4.1666665614078134E-5,74,3337,105
4.583333217548595E-5,74,3338,88
4.999999873689376E-5,74,3337,81
5.4166665298301574E-5,74,3336,75
5.833333185970939E-5,74,3333,69
6.24999984211172E-5,74,3333,67
6.6666664982525E-5,74,3332,66
7.083333154393283E-5,74,3332,66
7.499999810534064E-5,74,3331,66
7.916666466674846E-5,74,3330,66
8.333333122815627E-5,74,3327,66
