Time,Predator,Prey,Plant
4.166666561407813E-6,50,1000,1000
8.333333122815626E-6,67,3131,943
1.249999968422344E-5,67,3238,628
1.666666624563125E-5,70,3281,415
2.0833332807039067E-5,72,3296,294
2.499999936844688E-5,72,3314,214
2.9166665929854695E-5,72,3313,163
3.33333324912625E-5,72,3321,137
3.749999905267032E-5,72,3321,111
4.1666665614078134E-5,72,3321,99
4.583333217548595E-5,72,3321,83
4.999999873689376E-5,72,3321,81
5.4166665298301574E-5,72,3321,78
5.833333185970939E-5,72,3321,74
6.24999984211172E-5,72,3319,70
6.6666664982525E-5,72,3319,66
7.083333154393283E-5,72,3319,60
7.499999810534064E-5,72,3319,58
7.916666466674846E-5,72,3319,58
8.333333122815627E-5,72,3323,56
