Time,Predator,Prey,Plant
4.166666561407813E-6,50,1000,1000
8.333333122815626E-6,63,3023,958
1.249999968422344E-5,64,3133,628
1.666666624563125E-5,65,3162,398
2.0833332807039067E-5,65,3200,289
2.499999936844688E-5,65,3217,219
2.9166665929854695E-5,66,3216,173
3.33333324912625E-5,66,3237,137
3.749999905267032E-5,66,3256,117
4.1666665614078134E-5,66,3261,101
4.583333217548595E-5,66,3260,91
4.999999873689376E-5,66,3260,85
5.4166665298301574E-5,66,3259,79
5.833333185970939E-5,66,3259,74
6.24999984211172E-5,66,3259,72
6.6666664982525E-5,66,3259,72
7.083333154393283E-5,66,3259,70
7.499999810534064E-5,66,3259,70
7.916666466674846E-5,66,3258,70
8.333333122815627E-5,66,3258,69
